ISBN,editura,calea,an_aparitie,rating,opID
10266,Harper Collins,http://www.gutenberg.org/ebooks/10266.kindle.images,2003,10,299
10267,Relx Group,http://www.gutenberg.org/ebooks/10267.epub.noimages,2003,9,300
10268,Relx Group,http://www.gutenberg.org/ebooks/10268.kindle.noimages,2003,2,301
10269,Whiley,http://www.gutenberg.org/files/10269/10269-m/10269-m-readme.txt,2003,7,302
1027,Scholastic,http://www.gutenberg.org/ebooks/1027.kindle.noimages,1997,7,303
10270,RCS Libri,http://www.gutenberg.org/files/10270/10270-m/10270-m-readme.txt,2003,7,304
10271,Holtzbrinck,http://www.gutenberg.org/files/10271/10271-m/10271-m-readme.txt,2003,2,305
10272,La martiniere,http://www.gutenberg.org/files/10272/10272-m/10272-m-readme.txt,2003,3,306
10273,Grupo Planeta,http://www.gutenberg.org/ebooks/10273.rdf,2003,2,307
10274,Harper Collins,http://www.gutenberg.org/ebooks/10274.kindle.images,2003,5,308
10275,Group Madrigal,http://www.gutenberg.org/files/10275/10275-m/10275-m-001.mp3,2003,2,309
10276,RCS Libri,http://www.gutenberg.org/files/10276/10276-m/10276-m-readme.txt,2003,6,310
10277,Relx Group,http://www.gutenberg.org/ebooks/10277.rdf,2003,3,311
10278,RCS Libri,http://www.gutenberg.org/files/10278/10278-m/10278-m-001.mp3,2003,3,312
10279,Relx Group,http://www.gutenberg.org/files/10279/10279-m/10279-m-001.mp3,2003,9,313
1028,Scholastic,http://www.gutenberg.org/ebooks/1028.kindle.noimages,1997,2,314
10280,Relx Group,http://www.gutenberg.org/files/10280/10280-m/10280-m-readme.txt,2003,9,315
10281,Boneir,http://www.gutenberg.org/ebooks/10281.rdf,2003,5,316
10282,Group Madrigal,http://www.gutenberg.org/files/10282/10282-m/10282-m-readme.txt,2003,1,317
10283,Scholastic,http://www.gutenberg.org/files/10283/10283-m/10283-m-readme.txt,2003,3,318
10284,Boneir,http://www.gutenberg.org/files/10284/10284-m/10284-m-001.mp3,2003,4,319
10285,Group Madrigal,http://www.gutenberg.org/ebooks/10285.rdf,2003,6,320
10286,ThomsonReuters,http://www.gutenberg.org/files/10286/10286-m/10286-m-readme.txt,2003,9,321
10287,House,http://www.gutenberg.org/files/10287/10287-m/10287-m-001.mp3,2003,6,322
10288,Scholastic,http://www.gutenberg.org/ebooks/10288.rdf,2003,8,323
10289,Group Madrigal,http://www.gutenberg.org/ebooks/10289.kindle.noimages,2003,1,324
1029,Penguin Random,http://www.gutenberg.org/files/1029/1029-h/1029-h.htm,1997,3,325
10290,Grupo Planeta,http://www.gutenberg.org/ebooks/10290.kindle.images,2003,4,326
10291,Group Madrigal,http://www.gutenberg.org/ebooks/10291.kindle.noimages,2003,10,327
10292,Klett,http://www.gutenberg.org/ebooks/10292.rdf,2003,9,328
10293,La martiniere,http://www.gutenberg.org/ebooks/10293.epub.images,2003,9,329
10294,Hachette Livre,http://www.gutenberg.org/ebooks/10294.rdf,2003,1,330
10295,Grupo Planeta,http://www.gutenberg.org/ebooks/10295.rdf,2003,5,331
10296,Klett,http://www.gutenberg.org/ebooks/10296.rdf,2003,7,332
10297,Informa,http://www.gutenberg.org/files/10297/10297-m/10297-m-readme.txt,2003,9,333
10298,Holtzbrinck,http://www.gutenberg.org/files/10298/10298-m/10298-m-readme.txt,2003,1,334
10299,Holtzbrinck,http://www.gutenberg.org/files/10299/10299-m/10299-m-001.mp3,2003,4,335
103,Hachette Livre,http://www.gutenberg.org/files/103/103.zip,1994,8,336
1030,Relx Group,http://www.gutenberg.org/ebooks/1030.kindle.images,1997,1,337
10300,Harper Collins,http://www.gutenberg.org/files/10300/10300-m/10300-m-readme.txt,2003,6,338
10301,Hachette Livre,http://www.gutenberg.org/files/10301/10301-m/10301-m-001.mp3,2003,7,339
10302,Abril Educacao,http://www.gutenberg.org/files/10302/10302-m/10302-m-readme.txt,2003,10,340
10303,House,http://www.gutenberg.org/files/10303/10303-m/10303-m-readme.txt,2003,10,341
10304,Informa,http://www.gutenberg.org/files/10304/10304-m/10304-m-001.mp3,2003,10,342
10305,Boneir,http://www.gutenberg.org/ebooks/10305.rdf,2003,6,343
10306,Holtzbrinck,http://www.gutenberg.org/files/10306/10306-m/10306-m-readme.txt,2003,5,344
10307,ThomsonReuters,http://www.gutenberg.org/ebooks/10307.rdf,2003,2,345
10308,Pearson,http://www.gutenberg.org/files/10308/10308-m/10308-m-readme.txt,2003,6,346
10309,House,http://www.gutenberg.org/files/10309/10309-m/10309-m-001.mp3,2003,2,347
1031,ThomsonReuters,http://www.gutenberg.org/ebooks/1031.epub.images,1997,10,348
10310,ThomsonReuters,http://www.gutenberg.org/files/10310/10310-m/10310-m-001.mp3,2003,5,349
10311,Penguin Random,http://www.gutenberg.org/files/10311/10311-m/10311-m-readme.txt,2003,1,350
10312,Pearson,http://www.gutenberg.org/files/10312/10312-m/10312-m-001.mp3,2003,1,351
10313,Grupo Planeta,http://www.gutenberg.org/ebooks/10313.rdf,2003,10,352
10314,Klett,http://www.gutenberg.org/ebooks/10314.kindle.noimages,2003,5,353
10315,Klett,http://www.gutenberg.org/files/10315/10315-8.txt,2003,7,354
10316,Hachette Livre,http://www.gutenberg.org/ebooks/10316.html.images,2003,9,355
10317,RCS Libri,http://www.gutenberg.org/files/10317/10317.zip,2003,5,356
10318,ThomsonReuters,http://www.gutenberg.org/files/10318/10318-8.txt,2003,1,357
10319,La martiniere,http://www.gutenberg.org/ebooks/10319.kindle.noimages,2003,1,358
1032,Pearson,http://www.gutenberg.org/ebooks/1032.epub.images,1997,7,359
10320,Abril Educacao,http://www.gutenberg.org/ebooks/10320.epub.images,2003,9,360
10321,La martiniere,http://www.gutenberg.org/ebooks/10321.epub.noimages,2003,2,361
10322,Klett,http://www.gutenberg.org/ebooks/10322.epub.noimages,2003,3,362
10323,Scholastic,http://www.gutenberg.org/ebooks/10323.html.images,2003,10,363
10324,Grupo Planeta,http://www.gutenberg.org/ebooks/10324.txt.utf-8,2003,2,364
10325,Pearson,http://www.gutenberg.org/ebooks/10325.txt.utf-8,2003,4,365
10326,Harper Collins,http://www.gutenberg.org/ebooks/10326.epub.noimages,2003,3,366
10327,Group Madrigal,http://www.gutenberg.org/files/10327/10327-h/10327-h.htm,2003,3,367
10328,Relx Group,http://www.gutenberg.org/files/10328/10328-8.zip,2003,8,368
10329,House,http://www.gutenberg.org/ebooks/10329.html.images,2003,5,369
1033,Boneir,http://www.gutenberg.org/ebooks/1033.kindle.images,1997,9,370
10330,House,http://www.gutenberg.org/ebooks/10330.txt.utf-8,2003,8,371
10331,Whiley,http://www.gutenberg.org/files/10331/10331-h.zip,2003,10,372
10332,Klett,http://www.gutenberg.org/files/10332/10332-h/10332-h.htm,2003,4,373
10333,Abril Educacao,http://www.gutenberg.org/ebooks/10333.txt.utf-8,2003,10,374
10334,Penguin Random,http://www.gutenberg.org/ebooks/10334.txt.utf-8,2003,2,375
10335,La martiniere,http://www.gutenberg.org/ebooks/10335.kindle.images,2003,4,376
10336,Harper Collins,http://www.gutenberg.org/files/10336/10336-8.zip,2003,9,377
10337,Abril Educacao,http://www.gutenberg.org/ebooks/10337.epub.noimages,2003,5,378
10338,Grupo Planeta,http://www.gutenberg.org/ebooks/10338.kindle.noimages,2003,1,379
10339,Penguin Random,http://www.gutenberg.org/files/10339/10339-0.txt,2003,6,380
1034,Scholastic,http://www.gutenberg.org/ebooks/1034.epub.noimages,1997,6,381
10340,La martiniere,http://www.gutenberg.org/files/10340/10340.txt,2003,10,382
10341,Pearson,http://www.gutenberg.org/files/10341/10341-8.zip,2003,6,383
10342,Grupo Planeta,http://www.gutenberg.org/files/10342/10342.zip,2003,9,384
10343,Relx Group,http://www.gutenberg.org/ebooks/10343.kindle.noimages,2003,9,385
10344,Harper Collins,http://www.gutenberg.org/files/10344/10344-sib/10344-sib.sib,2003,10,386
10345,Group Madrigal,http://www.gutenberg.org/ebooks/10345.epub.noimages,2003,1,387
10346,Klett,http://www.gutenberg.org/ebooks/10346.epub.images,2003,1,388
10347,Penguin Random,http://www.gutenberg.org/ebooks/10347.txt.utf-8,2004,6,389
10348,Group Madrigal,http://www.gutenberg.org/ebooks/10348.rdf,2004,2,390
10349,Abril Educacao,http://www.gutenberg.org/files/10349/10349.txt,2003,4,391
1035,Penguin Random,http://www.gutenberg.org/ebooks/1035.kindle.images,1997,3,392
10350,Holtzbrinck,http://www.gutenberg.org/ebooks/10350.epub.images,2003,2,393
10351,La martiniere,http://www.gutenberg.org/files/10351/10351-h/10351-h.htm,2003,9,394
10352,Scholastic,http://www.gutenberg.org/files/10352/10352-8.zip,2003,7,395
10353,Klett,http://www.gutenberg.org/files/10353/10353.txt,2003,7,396
10354,Harper Collins,http://www.gutenberg.org/files/10354/10354.zip,2003,4,397
10355,Boneir,http://www.gutenberg.org/files/10355/10355.zip,2003,5,398
10356,La martiniere,http://www.gutenberg.org/ebooks/10356.html.noimages,2003,1,399
10357,Grupo Planeta,http://www.gutenberg.org/ebooks/10357.txt.utf-8,2003,9,400
10358,RCS Libri,http://www.gutenberg.org/ebooks/10358.rdf,2003,9,401
10359,Penguin Random,http://www.gutenberg.org/ebooks/10359.epub.noimages,2003,4,402
1036,Informa,http://www.gutenberg.org/files/1036/1036.zip,1997,2,403
10360,Scholastic,http://www.gutenberg.org/ebooks/10360.kindle.noimages,2003,3,404
10361,ThomsonReuters,http://www.gutenberg.org/files/10361/10361.zip,2003,7,405
10362,Informa,http://www.gutenberg.org/files/10362/10362.txt,2003,10,406
10363,ThomsonReuters,http://www.gutenberg.org/files/10363/10363-h.zip,2003,6,407
10364,Klett,http://www.gutenberg.org/files/10364/10364-h/10364-h.htm,2003,4,408
10365,Pearson,http://www.gutenberg.org/ebooks/10365.txt.utf-8,2003,9,409
10366,Harper Collins,http://www.gutenberg.org/files/10366/10366-h.zip,2003,10,410
10367,Scholastic,http://www.gutenberg.org/ebooks/10367.rdf,2003,2,411
10368,Holtzbrinck,http://www.gutenberg.org/files/10368/10368.zip,2003,3,412
10369,Group Madrigal,http://www.gutenberg.org/files/10369/10369-8.zip,2003,4,413
1037,Whiley,http://www.gutenberg.org/ebooks/1037.epub.images,1997,7,414
10370,Informa,http://www.gutenberg.org/ebooks/10370.rdf,2003,9,415
10371,Abril Educacao,http://www.gutenberg.org/ebooks/10371.rdf,2003,9,416
10372,Harper Collins,http://www.gutenberg.org/files/10372/10372-8.zip,2003,3,417
10373,Abril Educacao,http://www.gutenberg.org/ebooks/10373.html.noimages,2003,7,418
10374,RCS Libri,http://www.gutenberg.org/ebooks/10374.rdf,2003,1,419
10375,Informa,http://www.gutenberg.org/ebooks/10375.epub.images,2003,4,420
10376,Group Madrigal,http://www.gutenberg.org/ebooks/10376.epub.noimages,2003,10,421
10377,Scholastic,http://www.gutenberg.org/ebooks/10377.kindle.noimages,2003,6,422
10378,RCS Libri,http://www.gutenberg.org/files/10378/10378-8.txt,2003,4,423
10379,Group Madrigal,http://www.gutenberg.org/ebooks/10379.kindle.noimages,2003,8,424
1038,Harper Collins,http://www.gutenberg.org/ebooks/1038.rdf,1997,2,425
10380,Hachette Livre,http://www.gutenberg.org/files/10380/10380-8.zip,2003,10,426
10381,Grupo Planeta,http://www.gutenberg.org/ebooks/10381.rdf,2003,2,427
10382,Klett,http://www.gutenberg.org/files/10382/10382.zip,2003,9,428
10383,Group Madrigal,http://www.gutenberg.org/ebooks/10383.html.images,2003,6,429
10384,ThomsonReuters,http://www.gutenberg.org/ebooks/10384.rdf,2003,1,430
10385,Holtzbrinck,http://www.gutenberg.org/ebooks/10385.kindle.noimages,2003,10,431
1,Harper Collins,http://www.gutenberg.org/ebooks/1.epub.noimages,1971,10,1
10,House,http://www.gutenberg.org/ebooks/10.epub.images,1989,8,2
100,Holtzbrinck,http://www.gutenberg.org/ebooks/100.epub.noimages,1994,5,3
1000,Boneir,http://www.gutenberg.org/ebooks/1000.epub.images,1997,1,4
10000,Klett,http://www.gutenberg.org/ebooks/10000.epub.images,2006,4,5
10001,Holtzbrinck,http://www.gutenberg.org/files/10001/10001.txt,2003,9,6
10002,Scholastic,http://www.gutenberg.org/files/10002/10002.txt,2003,7,7
10003,RCS Libri,http://www.gutenberg.org/files/10003/10003.zip,2003,7,8
10004,RCS Libri,http://www.gutenberg.org/ebooks/10004.kindle.noimages,2003,10,9
10005,Whiley,http://www.gutenberg.org/ebooks/10005.epub.images,2003,1,10
10006,La martiniere,http://www.gutenberg.org/files/10006/10006.zip,2003,10,11
10007,Whiley,http://www.gutenberg.org/ebooks/10007.kindle.images,2003,9,12
10008,Pearson,http://www.gutenberg.org/files/10008/10008-8.zip,2003,6,13
10009,Scholastic,http://www.gutenberg.org/ebooks/10009.html.noimages,2003,2,14
1001,Whiley,http://www.gutenberg.org/files/1001/1001.txt,1997,1,15
10010,Boneir,http://www.gutenberg.org/ebooks/10010.txt.utf-8,2003,5,16
10011,House,http://www.gutenberg.org/files/10011/10011.txt,2003,2,17
10012,Informa,http://www.gutenberg.org/ebooks/10012.html.images,2003,10,18
10013,Abril Educacao,http://www.gutenberg.org/files/10013/10013-h/10013-h.htm,2003,5,19
10014,Harper Collins,http://www.gutenberg.org/ebooks/10014.txt.utf-8,2003,8,20
10015,Abril Educacao,http://www.gutenberg.org/files/10015/10015.txt,2003,6,21
10016,Klett,http://www.gutenberg.org/files/10016/10016-h.zip,2003,10,22
10017,Abril Educacao,http://www.gutenberg.org/ebooks/10017.txt.utf-8,2003,7,23
10018,Whiley,http://www.gutenberg.org/ebooks/10018.kindle.noimages,2003,5,24
10019,La martiniere,http://www.gutenberg.org/files/10019/10019-h.zip,2003,1,25
1002,Abril Educacao,http://www.gutenberg.org/ebooks/1002.epub.noimages,1997,6,26
10020,Scholastic,http://www.gutenberg.org/ebooks/10020.txt.utf-8,2003,6,27
10021,Whiley,http://www.gutenberg.org/ebooks/10021.epub.noimages,2003,2,28
10022,Abril Educacao,http://www.gutenberg.org/ebooks/10022.epub.images,2003,3,29
10023,Abril Educacao,http://www.gutenberg.org/ebooks/10023.epub.noimages,2003,4,30
10024,Group Madrigal,http://www.gutenberg.org/ebooks/10024.epub.noimages,2003,2,31
10025,Scholastic,http://www.gutenberg.org/files/10025/10025.zip,2003,9,32
10026,Relx Group,http://www.gutenberg.org/ebooks/10026.kindle.noimages,2003,6,33
10027,Abril Educacao,http://www.gutenberg.org/files/10027/10027.txt,2003,9,34
10028,Holtzbrinck,http://www.gutenberg.org/ebooks/10028.epub.noimages,2003,5,35
10029,Penguin Random,http://www.gutenberg.org/ebooks/10029.html.noimages,2003,5,36
1003,Harper Collins,http://www.gutenberg.org/ebooks/1003.txt.utf-8,1997,4,37
10030,Boneir,http://www.gutenberg.org/ebooks/10030.epub.images,2003,4,38
10031,Pearson,http://www.gutenberg.org/ebooks/10031.epub.noimages,2003,8,39
10032,Abril Educacao,http://www.gutenberg.org/ebooks/10032.kindle.images,2003,7,40
10033,Group Madrigal,http://www.gutenberg.org/ebooks/10033.txt.utf-8,2003,3,41
10034,Holtzbrinck,http://www.gutenberg.org/ebooks/10034.rdf,2003,4,42
10035,Group Madrigal,http://www.gutenberg.org/files/10035/10035-8.txt,2003,6,43
10036,House,http://www.gutenberg.org/files/10036/10036-h/10036-h.htm,2003,10,44
10037,Informa,http://www.gutenberg.org/files/10037/10037-8.zip,2003,5,45
10038,Whiley,http://www.gutenberg.org/ebooks/10038.rdf,2003,10,46
10039,Whiley,http://www.gutenberg.org/files/10039/10039.zip,2003,4,47
1004,Abril Educacao,http://www.gutenberg.org/files/1004/1004.txt,1997,9,48
10040,Scholastic,http://www.gutenberg.org/files/10040/10040.zip,2003,2,49
10041,Whiley,http://www.gutenberg.org/ebooks/10041.epub.noimages,2003,10,50
10042,Hachette Livre,http://www.gutenberg.org/ebooks/10042.kindle.noimages,2003,3,51
10043,Penguin Random,http://www.gutenberg.org/ebooks/10043.epub.noimages,2003,10,52
10044,Harper Collins,http://www.gutenberg.org/ebooks/10044.txt.utf-8,2003,7,53
10045,La martiniere,http://www.gutenberg.org/ebooks/10045.kindle.noimages,2003,8,54
10046,Penguin Random,http://www.gutenberg.org/ebooks/10046.rdf,2003,5,55
10047,Grupo Planeta,http://www.gutenberg.org/files/10047/10047-h/10047-h.htm,2003,3,56
10048,Abril Educacao,http://www.gutenberg.org/ebooks/10048.rdf,2003,5,57
10049,Harper Collins,http://www.gutenberg.org/ebooks/10049.epub.images,2003,7,58
1005,Hachette Livre,http://www.gutenberg.org/ebooks/1005.kindle.noimages,2004,3,59
10050,Hachette Livre,http://www.gutenberg.org/ebooks/10050.html.noimages,2003,8,60
10051,Klett,http://www.gutenberg.org/ebooks/10051.html.images,2003,7,61
10052,Harper Collins,http://www.gutenberg.org/ebooks/10052.epub.images,2003,8,62
10053,Hachette Livre,http://www.gutenberg.org/ebooks/10053.kindle.images,2003,1,63
10054,Holtzbrinck,http://www.gutenberg.org/ebooks/10054.kindle.noimages,2003,8,64
10055,ThomsonReuters,http://www.gutenberg.org/ebooks/10055.epub.images,2003,7,65
10056,Scholastic,http://www.gutenberg.org/files/10056/10056.txt,2003,10,66
10057,Pearson,http://www.gutenberg.org/ebooks/10057.kindle.images,2003,9,67
10058,Harper Collins,http://www.gutenberg.org/ebooks/10058.txt.utf-8,2003,5,68
10059,Informa,http://www.gutenberg.org/ebooks/10059.epub.images,2003,6,69
1006,La martiniere,http://www.gutenberg.org/ebooks/1006.epub.images,2004,5,70
10060,Penguin Random,http://www.gutenberg.org/ebooks/10060.epub.noimages,2003,2,71
10061,Boneir,http://www.gutenberg.org/ebooks/10061.epub.noimages,2003,1,72
10062,Grupo Planeta,http://www.gutenberg.org/ebooks/10062.html.noimages,2003,4,73
10063,Group Madrigal,http://www.gutenberg.org/ebooks/10063.kindle.images,2003,3,74
10064,Whiley,http://www.gutenberg.org/ebooks/10064.html.images,2003,4,75
10065,Informa,http://www.gutenberg.org/ebooks/10065.html.noimages,2003,1,76
10066,ThomsonReuters,http://www.gutenberg.org/files/10066/10066-8.zip,2003,1,77
10067,Hachette Livre,http://www.gutenberg.org/files/10067/10067-8.zip,2003,8,78
10068,La martiniere,http://www.gutenberg.org/ebooks/10068.txt.utf-8,2003,8,79
10069,ThomsonReuters,http://www.gutenberg.org/ebooks/10069.epub.images,2003,9,80
1007,Group Madrigal,http://www.gutenberg.org/files/1007/1007.txt,2004,3,81
10070,Klett,http://www.gutenberg.org/files/10070/10070.zip,2003,10,82
10071,Penguin Random,http://www.gutenberg.org/ebooks/10071.kindle.noimages,2003,1,83
10072,House,http://www.gutenberg.org/ebooks/10072.rdf,2003,6,84
10073,Grupo Planeta,http://www.gutenberg.org/ebooks/10073.html.images,2003,2,85
10074,Klett,http://www.gutenberg.org/files/10074/10074.txt,2003,3,86
10075,Penguin Random,http://www.gutenberg.org/files/10075/10075.zip,2003,1,87
10076,Pearson,http://www.gutenberg.org/files/10076/10076-8.txt,2003,4,88
10077,Relx Group,http://www.gutenberg.org/ebooks/10077.epub.noimages,2003,5,89
10078,Grupo Planeta,http://www.gutenberg.org/files/10078/10078-8.zip,2003,1,90
10079,Relx Group,http://www.gutenberg.org/ebooks/10079.html.images,2003,7,91
1008,Informa,http://www.gutenberg.org/ebooks/1008.epub.images,1997,2,92
10080,Informa,http://www.gutenberg.org/files/10080/10080.zip,2003,5,93
10081,Harper Collins,http://www.gutenberg.org/ebooks/10081.rdf,2003,2,94
10082,Whiley,http://www.gutenberg.org/files/10082/10082.zip,2003,10,95
10083,Harper Collins,http://www.gutenberg.org/ebooks/10083.txt.utf-8,2003,3,96
10084,RCS Libri,http://www.gutenberg.org/ebooks/10084.epub.noimages,2003,5,97
10085,Group Madrigal,http://www.gutenberg.org/ebooks/10085.epub.noimages,2003,5,98
10086,Whiley,http://www.gutenberg.org/ebooks/10086.kindle.images,2003,6,99
10087,Whiley,http://www.gutenberg.org/ebooks/10087.epub.noimages,2003,10,100
10088,House,http://www.gutenberg.org/files/10088/10088-8.txt,2003,8,101
10089,ThomsonReuters,http://www.gutenberg.org/ebooks/10089.rdf,2003,10,102
1009,Whiley,http://www.gutenberg.org/ebooks/1009.kindle.noimages,1997,5,103
10090,Group Madrigal,http://www.gutenberg.org/files/10090/10090.zip,2003,8,104
10091,Grupo Planeta,http://www.gutenberg.org/files/10091/10091-h/10091-h.htm,2003,4,105
10092,Pearson,http://www.gutenberg.org/files/10092/10092-h/10092-h.htm,2003,2,106
10093,Klett,http://www.gutenberg.org/ebooks/10093.kindle.images,2003,6,107
10094,Pearson,http://www.gutenberg.org/ebooks/10094.epub.images,2003,10,108
10095,Abril Educacao,http://www.gutenberg.org/files/10095/10095-8.txt,2003,5,109
10096,Hachette Livre,http://www.gutenberg.org/files/10096/10096.zip,2003,9,110
10097,Hachette Livre,http://www.gutenberg.org/ebooks/10097.html.images,2003,9,111
10098,RCS Libri,http://www.gutenberg.org/ebooks/10098.html.images,2003,10,112
10099,Harper Collins,http://www.gutenberg.org/ebooks/10099.epub.noimages,2003,3,113
101,Abril Educacao,http://www.gutenberg.org/ebooks/101.epub.images,1994,6,114
1010,La martiniere,http://www.gutenberg.org/ebooks/1010.epub.images,1997,7,115
10100,Informa,http://www.gutenberg.org/ebooks/10100.kindle.noimages,2003,4,116
10101,House,http://www.gutenberg.org/files/10101/10101.zip,2003,2,117
10102,Hachette Livre,http://www.gutenberg.org/ebooks/10102.kindle.images,2003,4,118
10103,Holtzbrinck,http://www.gutenberg.org/files/10103/10103-8.zip,2003,9,119
10104,Group Madrigal,http://www.gutenberg.org/ebooks/10104.epub.noimages,2003,1,120
10105,Abril Educacao,http://www.gutenberg.org/ebooks/10105.rdf,2003,9,121
10106,Klett,http://www.gutenberg.org/files/10106/10106.zip,2003,10,122
10107,Penguin Random,http://www.gutenberg.org/files/10107/10107.txt,2003,2,123
10108,Abril Educacao,http://www.gutenberg.org/ebooks/10108.kindle.noimages,2003,10,124
10109,Boneir,http://www.gutenberg.org/files/10109/10109.zip,2003,10,125
1011,Informa,http://www.gutenberg.org/files/1011/1011-h/1011-h.htm,1997,3,126
10110,Pearson,http://www.gutenberg.org/files/10110/10110-h/10110-h.htm,2003,5,127
10111,Informa,http://www.gutenberg.org/ebooks/10111.rdf,2003,10,128
10112,Harper Collins,http://www.gutenberg.org/ebooks/10112.epub.images,2003,4,129
10113,Klett,http://www.gutenberg.org/ebooks/10113.html.noimages,2003,10,130
10114,ThomsonReuters,http://www.gutenberg.org/ebooks/10114.txt.utf-8,2003,6,131
10115,ThomsonReuters,http://www.gutenberg.org/ebooks/10115.kindle.images,2003,2,132
10116,Informa,http://www.gutenberg.org/files/10116/10116-h.zip,2003,2,133
10117,La martiniere,http://www.gutenberg.org/files/10117/10117.txt,2003,5,134
10118,Informa,http://www.gutenberg.org/files/10118/10118-8.txt,2003,3,135
10119,Whiley,http://www.gutenberg.org/files/10119/10119.txt,2003,3,136
1012,Klett,http://www.gutenberg.org/ebooks/1012.kindle.images,1997,2,137
10120,ThomsonReuters,http://www.gutenberg.org/files/10120/10120.txt,2003,8,138
10121,La martiniere,http://www.gutenberg.org/ebooks/10121.html.noimages,2003,6,139
10122,Boneir,http://www.gutenberg.org/ebooks/10122.txt.utf-8,2003,8,140
10123,Relx Group,http://www.gutenberg.org/ebooks/10123.txt.utf-8,2003,9,141
10124,Group Madrigal,http://www.gutenberg.org/files/10124/10124-8.txt,2003,6,142
10125,Holtzbrinck,http://www.gutenberg.org/ebooks/10125.html.images,2003,9,143
10126,Hachette Livre,http://www.gutenberg.org/ebooks/10126.kindle.images,2003,10,144
10127,Group Madrigal,http://www.gutenberg.org/ebooks/10127.epub.images,2003,7,145
10128,La martiniere,http://www.gutenberg.org/ebooks/10128.epub.images,2003,2,146
10129,Klett,http://www.gutenberg.org/files/10129/10129-8.txt,2003,9,147
1013,Abril Educacao,http://www.gutenberg.org/ebooks/1013.html.images,2004,9,148
10130,ThomsonReuters,http://www.gutenberg.org/files/10130/10130.txt,2003,5,149
10131,ThomsonReuters,http://www.gutenberg.org/ebooks/10131.epub.images,2003,2,150
10132,Group Madrigal,http://www.gutenberg.org/ebooks/10132.html.noimages,2003,5,151
10133,Penguin Random,http://www.gutenberg.org/files/10133/10133.zip,2003,10,152
10134,Harper Collins,http://www.gutenberg.org/files/10134/10134-h.zip,2003,2,153
