opID,subgen
3939,Matematică
3940,Informatică
3941,Război
3942,SF
3943,Romantic
3944,Romantic
3945,Familie
3946,Război
3947,Război
3948,Informatică
3949,SF
3950,Fizică
3951,Fizică
3952,Istorie
3953,Matematică
3954,Familie
3955,Război
3956,Istorie
3957,Matematică
3958,Informatică
3959,Familie
3960,Război
3961,Dramă
3962,Fizică
3963,Matematică
3964,Romantic
3965,Fizică
3966,SF
3967,SF
3968,Război
3969,Dramă
3970,Istorie
3971,Dramă
3972,Romantic
3973,SF
3974,Istorie
3975,Război
3976,Fizică
3977,Fizică
3978,Romantic
3979,Informatică
3980,Fizică
3981,Matematică
3982,Familie
3983,Familie
3984,Matematică
3985,Dramă
3986,Romantic
3987,Dramă
3988,Matematică
3989,SF
3990,Informatică
3991,Dramă
3992,Istorie
3993,Familie
3994,Romantic
3995,Romantic
3996,Fizică
3997,Matematică
3998,Dramă
3999,Informatică
4000,Informatică
4001,Matematică
4002,Dramă
4003,Dramă
4004,Matematică
4005,Fizică
4006,Romantic
4007,Matematică
4008,SF
4009,SF
4010,Dramă
4011,SF
4012,Informatică
4013,Război
4014,Război
4015,Istorie
4016,Fizică
4017,Familie
4018,Istorie
4019,SF
4020,SF
4021,SF
4022,Matematică
4023,SF
4024,Romantic
4025,Romantic
4026,Matematică
4027,SF
4028,Fizică
4029,Război
4030,SF
4031,Război
4032,Matematică
4033,Fizică
4034,Romantic
4035,Război
4036,Război
4037,Matematică
4038,Istorie
4039,Istorie
4040,Dramă
4041,Istorie
4042,SF
4043,SF
4044,Familie
4045,Război
4046,Informatică
4047,Istorie
4048,Familie
4049,SF
4050,Fizică
4051,SF
4052,Fizică
4053,Familie
4054,Război
4055,Familie
4056,Istorie
4057,Familie
4058,Istorie
4059,Fizică
4060,Fizică
4061,Război
4062,SF
4063,Fizică
4064,Matematică
4065,Război
4066,SF
4067,Romantic
4068,Informatică
4069,Istorie
4070,Război
4071,Fizică
4072,Matematică
4073,Informatică
4074,Fizică
4075,SF
4076,Dramă
4077,Dramă
4078,Matematică
4079,Istorie
4080,Matematică
4081,Dramă
4082,Romantic
4083,Fizică
4084,Fizică
4085,Matematică
4086,Matematică
4087,Romantic
4088,Informatică
4089,Fizică
4090,Război
4091,Informatică
4092,Matematică
4093,Informatică
4094,Informatică
4095,SF
4096,Dramă
4097,Informatică
4098,Matematică
4099,SF
4100,Romantic
4101,Război
4102,Război
4103,Fizică
4104,Război
4105,Matematică
4106,Dramă
4107,SF
4108,Familie
4109,Război
4110,Romantic
4111,Informatică
4112,SF
193,Fizică
194,Război
195,Fizică
196,Familie
197,Fizică
198,Dramă
199,Matematică
200,Familie
201,Matematică
202,Istorie
203,Dramă
204,Fizică
205,Fizică
206,Romantic
207,Romantic
208,Matematică
209,Fizică
210,Dramă
211,SF
212,SF
213,Dramă
214,Familie
215,SF
216,Fizică
217,Dramă
218,Fizică
219,Istorie
220,Informatică
221,Familie
222,Romantic
223,Informatică
224,Matematică
225,Informatică
226,Război
227,Matematică
228,Dramă
229,SF
230,Familie
231,SF
232,Matematică
233,Romantic
234,Matematică
235,Istorie
236,Matematică
237,Război
238,Matematică
239,Matematică
240,Familie
241,Matematică
242,Familie
243,Romantic
244,Război
245,Familie
246,Matematică
247,Matematică
248,Matematică
249,SF
250,Război
251,Istorie
252,Război
253,Familie
254,Familie
255,Istorie
256,Război
257,Familie
258,Romantic
259,Familie
260,Romantic
261,SF
262,SF
263,Dramă
264,Informatică
265,SF
266,Familie
267,Fizică
268,Romantic
269,Matematică
270,Matematică
271,SF
272,Romantic
273,Război
274,Romantic
275,Fizică
276,Informatică
277,Matematică
278,Familie
279,Romantic
280,Război
281,Romantic
282,Război
283,Dramă
284,Informatică
285,Istorie
286,Fizică
287,SF
288,Dramă
289,Dramă
290,Istorie
291,Matematică
292,Familie
293,Dramă
294,Istorie
295,Război
296,Informatică
297,SF
298,Război
299,SF
300,Romantic
301,Matematică
302,Război
303,Dramă
304,Fizică
305,Matematică
306,Familie
307,Dramă
308,Informatică
309,SF
310,SF
311,Informatică
312,Familie
313,Istorie
314,Romantic
315,Istorie
316,Istorie
317,Informatică
318,Istorie
319,Informatică
320,Matematică
321,Istorie
322,Informatică
323,Familie
324,Război
325,Istorie
326,SF
327,Romantic
328,Fizică
329,SF
330,SF
331,Istorie
332,Familie
333,Romantic
334,Familie
335,Război
336,Familie
337,Romantic
338,Informatică
339,Fizică
340,Romantic
341,Romantic
342,Fizică
343,Dramă
344,Fizică
345,Familie
346,SF
347,Dramă
348,Informatică
349,Istorie
350,Război
351,Război
352,Istorie
353,Dramă
354,Război
355,Informatică
356,Istorie
357,Dramă
358,Istorie
359,Informatică
360,Război
361,Fizică
362,Romantic
363,Familie
364,Război
365,Familie
366,Istorie
367,Dramă
368,Matematică
369,SF
370,Informatică
371,SF
372,Istorie
373,Familie
374,Familie
375,Dramă
376,Dramă
377,Romantic
378,SF
379,Informatică
380,Matematică
381,Fizică
382,Familie
383,Familie
384,Romantic
385,Matematică
386,Război
387,Matematică
388,SF
389,Fizică
390,Matematică
391,Informatică
392,Matematică
393,Fizică
394,Fizică
395,Război
396,Matematică
397,Istorie
398,Familie
399,Istorie
400,Fizică
401,Romantic
402,SF
403,Dramă
404,Fizică
405,Familie
406,Informatică
407,Fizică
408,Informatică
409,Familie
410,SF
411,Fizică
412,Informatică
413,Fizică
414,SF
415,Matematică
416,Război
417,SF
418,Romantic
419,Istorie
420,Istorie
421,Istorie
422,Război
423,Matematică
424,Istorie
425,Război
426,Fizică
427,Matematică
428,Romantic
429,Romantic
430,Dramă
431,Familie
432,Romantic
433,Dramă
434,Război
435,Familie
436,Fizică
437,Dramă
438,Informatică
439,Romantic
440,Fizică
441,Romantic
442,Matematică
443,Romantic
444,Familie
445,Fizică
446,Dramă
447,SF
448,Dramă
449,Familie
450,Romantic
451,Istorie
452,Război
453,Familie
454,Istorie
455,Dramă
456,Matematică
457,Istorie
458,SF
459,Dramă
460,Familie
461,Matematică
462,Război
463,Familie
464,Informatică
465,Informatică
466,SF
467,Informatică
468,Romantic
469,SF
470,Informatică
471,Familie
472,Fizică
473,Fizică
474,SF
475,Război
476,Romantic
477,Istorie
478,Fizică
479,Istorie
480,Familie
481,Istorie
482,Romantic
483,Familie
484,Romantic
485,Romantic
486,Istorie
487,Istorie
488,Informatică
489,Fizică
490,Dramă
491,Familie
492,Dramă
493,SF
494,Matematică
495,Familie
496,SF
497,Dramă
498,Romantic
499,Fizică
500,Matematică
501,Familie
502,Dramă
503,SF
504,Dramă
505,Fizică
506,Fizică
507,Matematică
508,Informatică
509,Matematică
510,Familie
511,Fizică
512,SF
513,Fizică
514,Fizică
515,Informatică
516,Matematică
517,Dramă
518,Război
519,Dramă
520,SF
521,Dramă
522,Istorie
523,Dramă
524,Război
525,Fizică
526,Război
527,Dramă
528,Război
529,SF
530,Dramă
531,Familie
532,Romantic
533,Fizică
534,Fizică
535,Romantic
536,Război
537,Matematică
538,Matematică
539,Dramă
540,Dramă
541,Informatică
542,Informatică
543,SF
544,Istorie
545,Informatică
546,Fizică
547,Informatică
548,Matematică
549,SF
550,Informatică
551,Fizică
552,Romantic
553,Informatică
554,Război
555,Dramă
556,Matematică
557,Război
558,SF
559,Fizică
560,Dramă
561,Familie
562,Informatică
563,Familie
564,Fizică
565,SF
566,Matematică
567,Istorie
568,Fizică
569,Familie
570,Familie
571,Familie
572,Fizică
573,Fizică
574,Istorie
575,SF
576,Război
577,Fizică
578,Dramă
579,SF
580,Război
581,Romantic
582,Dramă
583,Informatică
584,Romantic
585,Fizică
586,Istorie
587,Matematică
588,Romantic
589,Familie
590,Familie
591,Dramă
592,Romantic
593,Informatică
594,Dramă
595,Familie
596,Familie
597,Fizică
598,Familie
599,Dramă
600,Informatică
601,Familie
602,Fizică
603,Matematică
604,Familie
605,Fizică
606,Familie
607,Matematică
608,Război
609,Familie
610,Fizică
611,Fizică
612,Război
613,Informatică
614,Dramă
615,Istorie
616,Romantic
617,Romantic
618,Informatică
619,Familie
620,SF
621,Dramă
622,Război
623,SF
624,Informatică
625,Matematică
626,SF
627,Dramă
628,Istorie
629,Război
630,SF
631,SF
632,Informatică
633,Informatică
634,SF
635,Fizică
636,Matematică
1081,SF
1082,Informatică
1083,Familie
1084,Informatică
1085,Dramă
1086,Istorie
1087,Istorie
1088,Romantic
1089,Informatică
1090,Familie
1091,Dramă
1092,Familie
1093,Romantic
1094,Romantic
1095,Dramă
1096,Fizică
1097,Romantic
1098,Istorie
1099,Istorie
1100,Istorie
1101,Război
1102,Informatică
1103,Matematică
1104,Război
1105,SF
1106,Familie
1107,SF
1108,Familie
1109,SF
1110,Familie
1111,Fizică
1112,Informatică
1113,Matematică
1114,Informatică
1115,Dramă
1116,Război
1117,Război
1118,SF
1119,Informatică
1120,Dramă
1121,Matematică
1122,Romantic
1123,Romantic
1124,Război
1125,Dramă
1126,Război
1127,Război
1128,Istorie
1129,Istorie
1130,Război
1131,Matematică
1132,Informatică
1133,Familie
1134,Informatică
1135,Romantic
1136,SF
1137,Dramă
1138,Romantic
1139,Dramă
1140,Istorie
1141,Fizică
1142,SF
1143,SF
1144,Matematică
1145,Informatică
1146,Matematică
1147,Informatică
1148,Război
1149,Război
1150,Fizică
1151,Romantic
1152,Romantic
1153,Fizică
1154,Istorie
1155,Război
1156,SF
1157,Război
1158,Informatică
1159,Matematică
1160,Război
1161,Istorie
1162,SF
1163,Familie
1164,Dramă
1165,Matematică
1166,SF
1167,Dramă
1168,Istorie
1169,Război
1170,Matematică
1171,Romantic
1172,SF
1173,Romantic
1174,Fizică
1175,Informatică
1176,SF
1177,Familie
1178,Război
1179,Război
1180,Informatică
1181,Familie
1182,Matematică
1183,Război
1184,Matematică
1185,Război
1186,Informatică
1187,Fizică
1188,SF
1189,Informatică
1190,Romantic
1191,Dramă
1192,SF
1193,Istorie
1194,Război
1195,Romantic
1196,Fizică
1197,SF
1198,Matematică
1199,Familie
1200,Informatică
1201,Informatică
1202,Dramă
1203,Dramă
1204,Romantic
1205,Război
1206,Dramă
1207,Fizică
1208,Matematică
1209,SF
1210,Dramă
1211,Război
1212,Matematică
1213,Romantic
1214,Romantic
1215,Matematică
1216,Dramă
1217,Dramă
1218,Război
1219,Dramă
1220,Fizică
1221,Dramă
1222,Fizică
1223,Dramă
1224,Fizică
1225,Familie
1226,SF
1227,Romantic
1228,Familie
1229,Familie
1230,Informatică
1231,SF
1232,Război
1233,Romantic
1234,Romantic
1235,Informatică
1236,Istorie
1237,Romantic
1238,SF
1239,Război
1240,Fizică
1241,Romantic
1242,Matematică
1243,Fizică
1244,Istorie
1245,SF
1246,Război
1247,SF
1248,Matematică
1249,Informatică
1250,Dramă
1251,Informatică
1252,Fizică
1253,Informatică
1254,Fizică
1255,Război
1256,Istorie
1257,Fizică
1258,Istorie
1259,Război
1260,Război
1261,Dramă
1262,Matematică
1263,Romantic
1264,Matematică
900,Matematică
901,Război
902,Fizică
903,Fizică
904,SF
905,Istorie
906,Matematică
907,SF
908,Matematică
909,Familie
910,SF
911,Informatică
912,Matematică
913,SF
914,Fizică
915,Istorie
916,Matematică
917,SF
918,Familie
919,Familie
920,Informatică
921,Dramă
922,Fizică
923,Război
924,Familie
925,Război
926,Istorie
927,Dramă
928,Dramă
929,Fizică
930,Război
931,Fizică
932,Război
933,Matematică
934,Familie
935,Război
936,Dramă
937,Război
938,Dramă
939,Informatică
940,Romantic
941,Matematică
942,Romantic
943,Informatică
944,SF
945,SF
946,Informatică
947,Război
948,Romantic
949,Război
950,SF
951,Război
952,SF
953,Matematică
954,Dramă
955,Istorie
956,Familie
957,SF
958,Familie
959,Istorie
960,SF
961,Război
962,SF
963,Istorie
964,Informatică
965,Război
966,Război
967,Matematică
968,Familie
969,Fizică
970,Dramă
971,SF
972,Informatică
973,SF
974,Dramă
975,Familie
976,Matematică
977,Război
978,Matematică
979,Fizică
980,Istorie
981,Dramă
982,Informatică
983,SF
984,Război
985,Romantic
986,Romantic
987,SF
988,Dramă
989,Război
990,Matematică
991,Fizică
992,Romantic
993,Război
994,SF
995,SF
996,Dramă
997,Fizică
998,Fizică
999,Familie
1000,Informatică
1001,Dramă
1002,Romantic
1003,Matematică
1004,Matematică
1005,Dramă
1006,Fizică
1007,Romantic
1008,Romantic
1009,Matematică
1010,Fizică
1011,Fizică
1012,Informatică
1013,Fizică
1014,Război
1015,Istorie
1016,Romantic
1017,Fizică
1018,Război
1019,Război
1020,Fizică
1021,Matematică
1022,Informatică
1023,Familie
1024,Istorie
1025,Istorie
1026,Romantic
1027,SF
1028,Dramă
1029,Informatică
1030,Romantic
1031,Dramă
1032,Matematică
1033,Război
1034,Război
1035,Familie
1036,SF
1037,Istorie
1038,Fizică
1039,Dramă
1040,Istorie
1041,Romantic
1042,SF
1043,Matematică
1044,Dramă
1045,Romantic
1046,Fizică
1047,Romantic
1048,Istorie
1049,SF
1050,Dramă
1051,Fizică
1052,Romantic
1053,Familie
1054,Război
1055,Matematică
1056,Familie
1057,Istorie
1058,Romantic
1059,Fizică
1060,Matematică
1061,Informatică
1062,Familie
1063,Fizică
1064,Informatică
1065,Dramă
1066,SF
1067,Fizică
1068,Istorie
1069,Informatică
1070,Matematică
1071,Război
1072,Fizică
1073,Romantic
1074,Matematică
1075,Matematică
1076,Fizică
1077,Război
1078,Familie
1079,Informatică
1080,Fizică
700,Informatică
701,SF
702,Război
703,Informatică
704,Dramă
705,Familie
706,Matematică
707,Fizică
708,Romantic
709,Război
710,SF
711,Romantic
712,Dramă
713,Familie
714,Război
715,Informatică
716,Familie
717,Dramă
718,Informatică
719,Fizică
720,SF
721,Dramă
722,Dramă
723,Dramă
724,Informatică
725,Fizică
726,Dramă
727,SF
728,Matematică
729,Istorie
730,Război
731,Matematică
732,Familie
733,Matematică
734,Familie
735,Matematică
736,Istorie
737,Informatică
738,Informatică
739,Informatică
740,Matematică
741,Romantic
742,Romantic
743,Fizică
744,Război
745,Război
746,SF
747,Istorie
748,Istorie
749,Dramă
750,Istorie
751,Familie
752,SF
753,Romantic
754,Informatică
755,Matematică
756,Război
757,Istorie
758,Fizică
759,Dramă
760,SF
761,Dramă
762,Matematică
763,Romantic
764,Romantic
765,SF
766,Istorie
767,Familie
768,Istorie
769,Familie
770,Matematică
771,Război
772,SF
773,Dramă
774,Informatică
775,Familie
776,Istorie
777,Familie
778,Romantic
779,Romantic
780,Informatică
781,Romantic
782,SF
783,Fizică
784,Familie
785,Istorie
786,Matematică
787,Fizică
788,Război
789,SF
790,Informatică
791,Istorie
792,Istorie
793,Istorie
794,Informatică
795,Istorie
796,Familie
797,SF
798,Matematică
799,Romantic
800,Informatică
801,Informatică
802,Război
803,SF
804,Familie
805,Istorie
806,Istorie
807,Război
808,Familie
809,SF
810,Dramă
811,Familie
812,Dramă
813,Matematică
814,Matematică
815,Romantic
816,Fizică
817,Matematică
818,Romantic
819,Dramă
820,Dramă
821,Informatică
822,Istorie
823,Matematică
824,Informatică
825,Istorie
826,SF
827,Dramă
828,Familie
829,Dramă
830,Fizică
831,Familie
832,Informatică
833,Dramă
834,Familie
835,SF
836,Istorie
837,Război
838,Romantic
839,Dramă
840,SF
841,SF
842,Matematică
843,Istorie
844,Matematică
845,Dramă
846,Familie
847,Romantic
848,Fizică
849,Război
850,Informatică
851,Dramă
852,Dramă
853,SF
854,Fizică
855,Romantic
856,Romantic
857,Familie
858,Dramă
859,Matematică
860,Dramă
861,Romantic
862,Romantic
863,Fizică
864,Fizică
865,SF
866,Război
867,Dramă
868,Război
869,Dramă
870,Romantic
871,Familie
872,Istorie
873,Familie
874,SF
875,SF
876,Război
877,Război
878,Familie
879,Familie
880,Război
881,Război
882,Familie
883,Fizică
884,Fizică
885,SF
886,Familie
887,Istorie
888,Familie
889,Informatică
890,SF
891,Fizică
892,Romantic
893,Dramă
894,Istorie
895,Război
896,Fizică
897,SF
898,Matematică
899,Matematică
1,Informatică
2,Război
3,Istorie
4,Război
5,Fizică
6,Familie
7,Istorie
8,Fizică
9,Matematică
10,Război
11,SF
12,SF
13,Istorie
14,Familie
15,Dramă
16,Informatică
17,Dramă
18,Război
19,SF
20,SF
21,Istorie
22,Fizică
23,Romantic
24,Istorie
25,Istorie
26,Familie
27,SF
28,Informatică
29,Istorie
30,Romantic
31,SF
32,Fizică
33,Familie
34,Dramă
35,Romantic
36,Informatică
37,Informatică
38,Dramă
39,Familie
40,Dramă
41,Istorie
42,Informatică
43,Fizică
44,Război
45,Familie
46,Istorie
47,SF
48,Romantic
49,SF
50,Istorie
51,Fizică
52,Dramă
53,Fizică
54,Dramă
55,Istorie
56,Război
57,Familie
58,Familie
59,Romantic
60,Război
61,Dramă
62,Istorie
63,Dramă
64,Istorie
65,Fizică
66,Război
67,Istorie
68,Informatică
69,Familie
70,Dramă
71,Război
72,Familie
73,Istorie
74,Informatică
75,SF
76,Război
77,Familie
78,SF
79,Dramă
80,Dramă
81,Dramă
82,SF
83,Informatică
84,SF
85,Istorie
86,SF
87,SF
88,Istorie
89,Istorie
90,Fizică
91,Război
92,Istorie
93,Fizică
94,Dramă
95,Dramă
96,Istorie
97,Dramă
98,Matematică
99,Dramă
100,Familie
101,Familie
102,Dramă
103,SF
104,Istorie
105,Informatică
106,Istorie
107,Matematică
108,Informatică
109,SF
110,Dramă
111,Dramă
112,Familie
113,Dramă
114,Informatică
115,Romantic
116,Fizică
117,Istorie
118,Dramă
119,Fizică
120,Dramă
121,Fizică
122,Romantic
123,Familie
124,Război
125,Fizică
126,SF
127,Război
128,SF
129,Istorie
130,Dramă
131,Informatică
132,Romantic
133,Dramă
134,Dramă
135,SF
136,Dramă
137,Matematică
138,Familie
139,Dramă
140,Familie
141,Romantic
142,Familie
143,Informatică
144,Informatică
145,Dramă
146,Familie
147,Dramă
148,Familie
149,Război
150,Romantic
151,Dramă
152,Romantic
153,SF
154,Matematică
155,Familie
156,Istorie
157,Informatică
158,Romantic
159,Matematică
160,Informatică
161,Familie
162,Informatică
163,Matematică
164,Informatică
165,Dramă
166,Dramă
167,Război
168,Istorie
169,Istorie
170,Istorie
171,SF
172,Romantic
173,Matematică
174,Informatică
175,Război
176,Război
177,Istorie
178,Fizică
179,Dramă
180,Informatică
181,Matematică
182,Istorie
183,Romantic
184,Fizică
185,Informatică
186,Fizică
187,Dramă
188,SF
189,Fizică
190,Familie
191,SF
192,Familie
3216,SF
3217,Informatică
3218,Informatică
3219,Informatică
3220,Informatică
3221,Dramă
3222,Matematică
3223,Dramă
3224,Familie
3225,SF
3226,Fizică
3227,Romantic
3228,Matematică
3229,Romantic
3230,Război
3231,Informatică
3232,Familie
3233,Matematică
3234,Romantic
3235,Matematică
3236,Matematică
3237,SF
3238,SF
3239,Matematică
3240,Istorie
3241,Romantic
3242,Informatică
3243,Dramă
3244,Fizică
3245,SF
3246,Informatică
3247,Război
3248,Romantic
3249,Istorie
3250,Dramă
3251,Romantic
3252,Romantic
3253,Dramă
3254,Romantic
3255,Fizică
3256,Informatică
3257,Matematică
3258,Matematică
3259,Romantic
3260,Informatică
3261,Istorie
3262,Dramă
3263,Romantic
3264,Dramă
3265,Romantic
3266,Romantic
3267,Matematică
3268,Istorie
3269,Război
3270,Dramă
3271,Fizică
3272,Informatică
3273,Dramă
3274,Informatică
3275,Matematică
3276,Informatică
3277,Dramă
3278,Război
3279,Fizică
3280,Romantic
3281,Fizică
3282,Romantic
3283,Informatică
3284,Dramă
3285,Familie
3286,Familie
3287,Matematică
3288,Familie
3289,Război
3290,Familie
3291,Matematică
3292,Război
3293,Romantic
3294,Dramă
3295,Război
3296,Istorie
3297,Matematică
3298,Fizică
3299,Istorie
3300,Matematică
3301,Informatică
3302,Informatică
3303,Informatică
3304,Istorie
3305,Romantic
3306,SF
3307,Istorie
3308,Familie
3309,Matematică
3310,Romantic
3311,Informatică
3312,Matematică
3313,Familie
3314,Istorie
3315,Fizică
3316,Dramă
3317,Război
3318,SF
3319,Matematică
3320,Dramă
3321,Informatică
3322,Război
3323,Romantic
3324,Matematică
3325,Dramă
3326,Dramă
3327,Familie
3328,Familie
3329,Familie
3330,Romantic
3331,Romantic
3332,SF
3333,Fizică
3334,Război
3335,Informatică
3336,Informatică
3337,Familie
3338,Familie
3339,Fizică
3340,Informatică
3341,Istorie
3342,Matematică
3343,Dramă
3344,Informatică
3345,Dramă
3346,Familie
3347,Dramă
3348,Istorie
3349,Informatică
3350,Fizică
3351,Romantic
3352,Război
3353,Istorie
3354,Război
3355,Istorie
3356,Matematică
3357,Matematică
3358,Matematică
3359,Familie
3360,Informatică
3361,Familie
3362,Fizică
3363,Romantic
3364,Istorie
3365,SF
3366,Familie
3367,Romantic
3368,Familie
3369,SF
3370,Fizică
3371,Romantic
3372,Informatică
3373,SF
3374,Dramă
3375,Fizică
3376,Istorie
3377,SF
3378,Război
3379,Istorie
3380,Dramă
3381,SF
3382,Istorie
3383,Familie
3384,SF
3385,Familie
3386,Război
3387,Fizică
3388,Familie
3389,Informatică
3390,Informatică
3391,Istorie
3392,Fizică
3393,Război
3394,Informatică
3395,Istorie
3396,Dramă
3397,Dramă
3398,Fizică
3399,Romantic
3400,Dramă
3401,SF
3402,Matematică
3403,Romantic
3404,Romantic
3405,Familie
3406,Dramă
3407,Război
3408,Romantic
3409,Matematică
3410,Război
3411,Dramă
3412,Fizică
3413,Dramă
3414,Dramă
3415,Istorie
3416,Fizică
3417,Matematică
3418,Război
3419,SF
3420,SF
3421,Dramă
3422,Matematică
3423,Familie
3424,SF
3425,Istorie
3426,Familie
3427,Informatică
3428,SF
3429,Matematică
3430,Dramă
3431,Informatică
3432,SF
3433,Romantic
3434,Romantic
3435,Familie
3436,Fizică
3437,Istorie
3438,Fizică
3439,Război
3440,Matematică
3441,Informatică
3442,Romantic
3443,Informatică
3444,Război
3445,Război
3446,Romantic
3447,Romantic
3448,Dramă
3449,SF
3450,Familie
3451,Război
3452,Familie
3453,Dramă
3454,Matematică
3455,SF
3456,Romantic
3457,SF
3458,Război
3459,Familie
3460,Matematică
3461,Informatică
3462,Familie
3463,SF
3464,Dramă
3465,SF
3466,Romantic
3467,Dramă
3468,Fizică
3469,Romantic
3470,Istorie
3471,Fizică
3472,Dramă
3473,Istorie
3474,Familie
3475,Istorie
3476,Război
3477,Fizică
3478,Război
3479,Istorie
3480,SF
3481,Romantic
3482,Romantic
3483,Istorie
3484,Familie
3485,Dramă
3486,Fizică
3487,SF
3488,Familie
3489,Familie
3490,Fizică
3491,Istorie
3492,Familie
3493,Război
3494,Dramă
3495,Fizică
3496,Familie
3497,SF
3498,Matematică
3499,Familie
3500,Familie
3501,SF
3502,Informatică
3503,Informatică
3504,Dramă
3505,Romantic
3506,Romantic
3507,Informatică
3508,Familie
3509,Război
3510,Familie
3511,Istorie
3512,Război
3513,SF
3514,Matematică
3515,Informatică
3516,Familie
3517,Război
3518,Istorie
3519,Dramă
3520,Informatică
3521,Romantic
3522,Familie
3523,SF
3524,Familie
3525,Romantic
3526,Romantic
3527,Dramă
3528,Război
3529,Informatică
3530,Fizică
3531,Matematică
3532,SF
3533,Dramă
3534,Romantic
3535,Dramă
3536,Informatică
3537,Romantic
3538,Informatică
3539,Romantic
3540,Romantic
3541,Matematică
3542,SF
3543,Romantic
3544,Dramă
3545,Dramă
3546,Fizică
3547,Dramă
3548,Informatică
3549,Familie
3550,Romantic
3551,Dramă
3552,Familie
3553,Fizică
3554,Matematică
3555,Dramă
3556,Informatică
3557,Dramă
3558,SF
3559,Război
3560,SF
3561,Familie
3562,Istorie
3563,Fizică
3564,Familie
3565,Război
3566,Război
3567,Familie
3568,Dramă
3569,Dramă
3570,Dramă
3571,Matematică
3572,SF
3573,Istorie
3574,SF
3575,Război
3576,Matematică
3577,Război
3578,Fizică
3579,Romantic
3580,Familie
3581,Romantic
3582,Matematică
3583,Fizică
3584,Fizică
3585,Familie
3586,Informatică
3587,Informatică
3588,Istorie
3589,Informatică
3590,Fizică
3591,Matematică
3592,Romantic
3593,Informatică
3594,Familie
3595,Matematică
3596,Matematică
3597,Romantic
3598,Dramă
3599,Dramă
3600,SF
3601,Război
3602,Familie
3603,Dramă
3604,SF
3605,Informatică
3606,Război
3607,Dramă
3608,Dramă
3609,Familie
3610,Fizică
3611,SF
3612,Fizică
3613,Război
3614,Romantic
3615,Informatică
3616,Familie
3617,Istorie
3618,Fizică
3619,Istorie
3620,Matematică
3621,Istorie
3622,Familie
3623,Dramă
3624,Dramă
3625,Matematică
3626,Istorie
3627,Istorie
3628,Război
3629,Informatică
