id,text,autor
182,Good code is short simple and symmetrical - the challenge is figuring out how to get there.,Sean Parent.
183,Alas to wear the mantle of Galileo it is not enough that you be persecuted by an unkind establishment you must also be right.,Bob Park.
184,Copy and paste is a design error,David Parnas.
185,Every program has (at least) two purposes: the one for which it was written and another for which it wasn't.,Alan J. Perlis.
186,There are two ways to write error-free programs; only the third works.,Alan J. Perlis.
187,When someone says 'I want a programming language in which I need only say what I want done' give him a lollipop.,Alan Perlis.
188,Some problems are so complex that you have to be highly intelligent and well informed just to be undecided about them.,Laurence J. Peter.
189,The most amazing achievement of the computer software industry is its continuing cancellation of the steady and staggering gains made by the computer hardware industry.,Henry Petroski.
190,Computers are useless. They can only give you answers.,Pablo Picasso.
191,Technology is dominated by two types of people: Those who understand what they do not manage. Those who manage what they do not understand.,Putt's Law.
192,Ugly programs are like ugly suspension bridges: they're much more liable to collapse than pretty ones because the way humans (especially engineer-humans) perceive beauty is intimately related to our ability to process and understand complexity. A language that makes it hard to write elegant code makes it hard to write good code.,Eric S. Raymond.
193,PHP is a minor evil perpetrated and created by incompetent amateurs whereas Perl is a great and insidious evil perpetrated by skilled but perverted professionals.,Jon Ribbens.
194,UNIX is simple. It just takes a genius to understand its simplicity.,Dennis Ritchie.
195,We only acknowledge small faults in order to make it appear that we are free from great ones.,La Rochefoucauld.
196,Even if you're on the right track you'll get run over if you just sit there.,Will Rogers.
197,The trouble with the world is that the stupid are cocksure and the intelligent are full of doubt.,Bertrand Russell.
198,A mathematician is a machine for turning coffee into theorems.,Alfr�d R�nyi (also attributed to Paul Erd�s).
199,You know you've achieved perfection in design not when you have nothing more to add but when you have nothing more to take away.,Antoine de Saint-Exupery
200,Fashion is something barbarous for it produces innovation without reason and imitation without benefit.,George Santayana.
201,Those who cannot remember the past are condemned to repeat it.,George Santayana.
202,If the code and the comments disagree then both are probably wrong.,attributed to Norm Schryer.
203,It is difficult to get a man to understand something when his salary depends on his not understanding it.,Upton Sinclair.
204,When you start off by telling those who disagree with you that they are not merely in error but in sin how much of a dialogue do you expect ?,Thomas Sowell.
205,If you lie to the compiler it will get its revenge.,Henry Spencer.
206,Without requirements or design programming is the art of adding bugs to an empty text file.,Louis Srygley.
207,The primary duty of an exception handler is to get the error out of the lap of the programmer and into the surprised face of the user. Provided you keep this cardinal rule in mind you can't go far wrong.,Verity Stob.
208,We are tied down to a language which makes up in obscurity what it lacks in style.,Tom Stoppard.
209,A notation is important for what it leaves out.,Joseph Stoy.
210,An organisation that treats its programmers as morons will soon have programmers that are willing and able to act like morons only.,Bjarne Stroustrup.
211,I did say something along the lines of 'C makes it easy to shoot yourself in the foot; C++ makes it harder but when you do it blows your whole leg off.',Bjarne Stroustrup.
212,I have always wished that my computer would be as easy to use as my telephone. My wish has come true. I no longer know how to use my telephone.,Bjarne Stroustrup.
213,The most important single aspect of software development is to be clear about what you are trying to build.,Bjarne Stroustrup.
214,To many managers getting rid of the arrogant undisciplined  over-paid technology-obsessed improperly-dressed etc. programmers would appear to be a significant added benefit.,Bjarne Stroustrup The C++ Programming Language 3e
215,Exceptions relieve the programmer of tedious writing boilerplate code,without removing the semantics of said
216,A multithreaded file system is only a performance hack.,Prof. Andrew S. Tanenbaum.
217,I've finally learned what ,Dennie van Tassel.
218,There are only two industries that refer to their customers as 'users'.,Edward Tufte.
219,Lord give us the wisdom to utter words that are gentle and tender for tomorrow we may have to eat them.,Rep. Morris Udall.
220,Simplicity is the ultimate sophistication.,Leonardo da Vinci.
221,The best is the enemy of the good.,Voltaire.
222,Most of you are familiar with the virtues of a programmer. There are three of course: laziness impatience and hubris.,Larry Wall.
223,We all agree on the necessity of compromise. We just can't agree on when it's necessary to compromise.,Larry Wall.
224,Power is the ability to control things moral authority is the ability to change things,Jim Wallis.
225,When one is postulating correlations or causations extant in reality one should always remember that the human brain is mainly a pattern recognition engine. And it is such a persistent pattern recognition engine that it often perceives patterns where none exist.,Jeff Walther.
226,The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails.,William Arthur Ward.
227,They always say time changes things but you actually have to change them yourself.,Andy Warhol.
228,If builders built buildings the way programmers wrote programs  then the first woodpecker that came along would destroy civilisation.,Gerald Weinberg.
229,Naturally we feel that mentally ill people are not what we are looking for when we hire programmers - although there is no empirical data to support or contradict that view... Is it appropriate to give tests for mental illness to anyone applying for any kind of job?,Weinberg The Psychology of Computer Programming.
230,As soon as we started programming we found to our surprise that it wasn't as easy to get programs right as we had thought. Debugging had to be discovered. I can remember the exact instant when I realized that a large part of my life from then on was going to be spent in finding mistakes in my own programs.,Maurice Wilkes discovers debugging
231,Increasingly people seem to misinterpret complexity as sophistication which is baffling - the incomprehensible should cause suspicion rather than admiration. Possibly this trend results from a mistaken belief that using a somewhat mysterious device confers an aura of power on the user.,Niklaus Wirth.
232,More computing sins are committed in the name of efficiency (without necessarily achieving it) than for any other single reason - including blind stupidity.,W.A. Wulf.
233,If you think your management doesn't know what it's doing or that your organisation turns out low-quality software crap that embarrasses you then leave.,Edward Yourdon Rise and Resurrection of the American
234,The purpose of software engineering is to control complexity  not to create it.,Dr. Pamela Zave.
235,Some people when confronted with a problem think 'I know I'll use regular expressions.' Now they have two problems.,Jamie Zawinski.
236,If you plan to throw one away you will throw away two.,Craig Zerouni.
237,Debugging is twice as hard as writing the code in the first place. Therefore if you write the code as cleverly as possible you are  by definition not smart enough to debug it.,Brian Kernighan.
238,The city's central computer told you? R2D2 you know better than to trust a strange computer!,C3PO.
239,Always code as if the guy who ends up maintaining your code will be a violent psychopath who knows where you live.,Martin Golding.
240,I don't care if it works on your machine! We are not shipping your machine!,Vidiu Platon.
241,If McDonalds were run like a software company one out of every hundred Big Macs would give you food poisoning and the response would be 'We're sorry here's a coupon for two more.',Mark Minasi.
242,A computer lets you make more mistakes faster than any invention in human history - with the possible exceptions of handguns and tequila.,Mitch Radcliffe.
243,Mr. Madison what you've just said is one of the most insanely idiotic things I have ever heard. At no point in your rambling  incoherent response were you even close to anything that could be considered a rational thought. Everyone in this room is now dumber for having listened to it. I award you no points and may God have mercy on your soul.,from movie Billy Madison.
244,There are it has been said two types of people in the world. There are those who when presented with a glass that is exactly half full say: this glass is half full. And then there are those who say: this glass is half empty. The world belongs  however to those who can look at the glass and say: What's up with this glass? Excuse me? Excuse me? This is my glass? I don't think so. My glass was full! And it was a bigger glass!,Terry Pratchett
245,Why is it so dark in here?,Terry Pratchett
246,The trouble with having an open mind of course is that people will insist on coming along and trying to put things in it.,Terry Pratchett (Diggers).
247,I can't understand this  what's wrong with me?,Terry Pratchett.
1,Laugh and the world laughs with you snore and you sleep alone.,Anthony Burgess.
2,A successful man is one who makes more money than his wife can spend. A successful woman is one who can find such a man.,Lana Turner.
3,Roses are red violets are blue I'm schizophrenic  and so am I.,Oscar Levant.
4,A woman's mind is cleaner than a man's: She changes it more often. ,Oliver Herford.
5,Behind every great man is a woman rolling her eyes.,Jim Carrey.
6,People who think they know everything are a great annoyance to those of us who do.,Isaac Asimov.
7,The universe is a big place perhaps the biggest.,Kurt Vonnegut.
8,Conscience is a mother-in-law whose visit never ends.,H. L. Mencken.
9,Legend: A lie that has attained the dignity of age.,H. L. Mencken.
10,The only really happy folk are married women and single men.,H. L. Mencken.
11,There is always an easy solution to every problem - neat  plausible and wrong.,H. L. Mencken.
12,Marriage is a wonderful institution but who would want to live in an institution?,H. L. Mencken.
13,Strike an average between what a woman thinks of her husband a month before she marries him and what she thinks of him a year afterward and you will have the truth about him.,H. L. Mencken.
14,An idealist is one who on noticing that a rose smells better than a cabbage concludes that it will also make better soup.,H. L. Mencken.
15,A cynic is a man who when he smells flowers looks around for a coffin.,H. L. Mencken.
16,Let's be very honest about what this is about. It's not about bashing Democrats it's not about taxes they have no idea what the Boston tea party was about they don't know their history at all. This is about hating a black man in the White House. This is racism straight up.,Janeane Garofalo.
17,If Barbie is so popular why do you have to buy her friends?,Steven Wright.
18,We can repair anything. (Please knock hard on the door - the bell doesn't work.),Sign on door of repair shop.
19,A verbal contract is not worth the paper it's written on.,Samuel Goldwyn.
20,Facts are stupid things.,Ronald Reagan
21,I never comment on referees and I'm not going to break the habit of a lifetime for that prat.,Ron Atkinson.
22,Solutions are not the answer.,Richard Nixon
23,Reports are sketchy but we have heard that in the first heart transplant operation in Belgium both patient and donor are doing fine.,Radio news announcer.
24,I knew I was an unwanted baby when I saw that my bath toys were a toaster and a radio.,Joan Rivers.
25,I don't feel we did wrong in taking this great country away from them. There were great numbers of people who needed new land and the Indians were selfishly trying to keep it for themselves.,John Wayne
26,Happiness is your dentist telling you it won't hurt and then having him catch his hand in the drill.,Johnny Carson.
27,A dentist at work in his vocation always looks down in the mouth.,George D. Prentice.
28,Every tooth in a man's head is more valuable than a diamond.,Miguel de Cervantes
29,If suffering brought wisdom the dentist�s office would be full of luminous ideas.,Mason Cooley.
30,You don't have to brush your teeth - just the ones you want to keep.,Unknown.
31,Some tortures are physical And some are mental  But the one that is both Is dental.,Ogden Nash.
32,Too many of today's children have straight teeth and crooked morals.,Unknown high school principal.
33,The man with a toothache thinks everyone happy whose teeth are sound.,George Bernard Shaw.
34,Dentist: a prestidigitator who putting metal into your mouth pulls coin out of your pocket.,Ambrose Bierce.
35,I find that most men would rather have their bellies opened for five hundred dollars than have a tooth pulled for five.,Martin H. Fischer.
36,For there was never yet philosopher That could endure the toothache patiently. ,William Shakespeare
37,We do have a zeal for laughter in most situations give or take a dentist.,Joseph Heller.
38,Even pearls are dark before the whiteness of his teeth.,William R. Alger.
39,If a patient cannot clean his teeth no dentist can clean them for him.,Martin H. Fischer.
40,An aching tooth is better out than in. To lose a rotting member is a gain.,Richard Baxter
41,My health plan doesn't cover dental so I enrolled my teeth as 32 dependents each needing a complete physical once a year.,Robert Brault
42,A man loses his illusions first his teeth second and his follies last.,Helen Rowland.
43,There are two things in life that a sage must preserve at every sacrifice the coats of his stomach and the enamel of his teeth. Some evils admit of consolations but there are no comforters for dyspepsia and the toothache.,Henry Lytton Bulwer.
44,You know sometimes a man just can't satisfy all of a woman's desires. Which is why God invented dental floss.,Author Unknown.
45,Adam and Eve had many advantages but the principal one was that they escaped teething.,Mark Twain.
46,The tongue is ever turning to the aching tooth.,Thomas Fuller.
47,Some old women and men grow bitter with age; the more their teeth drop out the more biting they get.,George D. Prentice.
48,I had very good dentures once. Some magnificent gold work. It's the only form of jewelry a man can wear that women fully appreciate.,Graham Greene.
49,I'm always amazed to hear of air crash victims so badly mutilated that they have to be identified by their dental records. What I can't understand is if they don't know who you are how do they know who your dentist is?,Paul Merton.
50,Tooth decay was a perennial national problem that meant a mouthful of silver for patients and for dentists a pocketful of gold.,Claudia Wallis.
51,Teeth extracted by the latest methodists.,Hong Kong dental advertisement.
52,If it weren't for electricity we'd all be watching television by candlelight.,George Gobel.
53,There is no housing shortage in Lincoln today - just a rumour that is put about by people who have nowhere to live.,G.L. Murfin
54,You mean they've scheduled Yom Kippur opposite Charlie's Angels?,Fred Silverman
55,Beyond its entertainment value Baywatch has enriched and  in many cases helped save lives. I'm looking forward to the opportunity to continue with a project which has has such a significance for so many.,David Hasselhoff
56,Many people would sooner die than think; in fact they do so.,Bertrand Russell.
57,Many a man will have the courage to die gallantly but will not have the courage to say or even to think that the cause for which he is asked to die is an unworthy one.,Bertrand Russell.
58,Liberty is the right to do what I like; license the right to do what you like.,Bertrand Russell.
59,It is preoccupation with possessions more than anything else  that prevents us from living freely and nobly.,Bertrand Russell.
60,In America everybody is of the opinion that he has no social superiors since all men are equal but he does not admit that he has no social inferiors for from the time of Jefferson onward the doctrine that all men are equal applies only upwards not downwards.,Bertrand Russell.
61,If there were in the world today any large number of people who desired their own happiness more than they desired the unhappiness of others we could have a paradise in a few years.,Bertrand Russell.
62,I've made an odd discovery. Every time I talk to a savant I feel quite sure that happiness is no longer a possibility. Yet when I talk with my gardener I'm convinced of the opposite.,Bertrand Russell.
63,I think we ought always to entertain our opinions with some measure of doubt. I shouldn't wish people dogmatically to believe any philosophy not even mine.,Bertrand Russell.
64,I remain convinced that obstinate addiction to ordinary language in our private thoughts is one of the main obstacles to progress in philosophy.,Bertrand Russell.
65,Freedom in general may be defined as the absence of obstacles to the realization of desires.,Bertrand Russell.
66,Democracy is the process by which people choose the man who'll get the blame.,Bertrand Russell.
67,A lot of these people who keep a gun at home for safety are the same ones who refuse to wear a seat belt.,George Carlin.
68,New programmers are drawn to multithreading like moths to flame  with similar results.,Tweet by Danny Thorpe.
69,Heck I don't age in my mind - people around me just keep getting younger. :^),Van Swofford in e.p.delphi.non-technical.
70,The clue train passed his station without stopping.,John Simmons / outlaw programmer.
71,Real programmers just throw a bunch of 1s and 0s at the computer to see what sticks,Pete O'Hanlon.
72,Not only do you continue to babble nonsense you can't even correctly remember the nonsense you babbled just minutes ago.,Rob Graham.
73,You can't rush good cooking you can't rush babies out and you can't rush software development,Unknown.
74,To eat well in England you should have breakfast three times a day.,W. Somerset Maugham
75,Maybe her popularity stems from the fact that watching her is sometimes like watching a train wreck.,John McCain's daughter Meghan about Ann Coulter.
76,Do you ever wake up in the middle of the night and just think to yourself 'I am just full of hot gas?',David Letterman to Rush Limbaugh.
77,I told my wife that I had a living will: I do not wish to be fed liquids from a bottle and hooked to a machine. So she turned off the TV and threw away the beer.,Bob Hipsley.
78,The only function of economic forecasting is to make astrology look respectable.,John Kenneth Galbraith.
79,The government of the United States is in no sense founded on the Christian Religion.,George Washington
80,If you can't be a good example then you'll just have to serve as a horrible warning.,Catherine Aird.
81,If there's one thing worse than a program that doesn't work when it should it's a program that does work when it shouldn't.,Bob Archer.
82,There's a fine line between being on the leading edge and being in the lunatic fringe.,Frank Armstrong.
83,Once a new technology starts rolling if you're not part of the steamroller you're part of the road.,Stewart Brand.
84,Einstein argued that there must be simplified explanations of nature because God is not capricious or arbitrary. No such faith comforts the software engineer.,Fred Brooks.
85,Good judgement comes from experience and experience comes from bad judgement.,Fred Brooks.
86,Plan to throw one away you will anyhow.,Fred Brooks.
87,...well over half of the time you spend working on a project (on the order of 70 percent) is spent thinking and no tool  no matter how advanced can think for you. Consequently even if a tool did everything except the thinking for you,
88,The act of focusing our mightiest intellectual resources on the elusive goal of goto-less programs has helped us get our minds off all those really tough and possibly unresolvable problems and issues with which today's professional programmer would otherwise have to grapple.,John Brown.
89,The first 90% of the code accounts for the first 90% of the development time. The remaining 10% of the code accounts for the other 90% of the development time.,Tom Cargill.
90,... the cost of adding a feature isn't just the time it takes to code it. The cost also includes the addition of an obstacle to future expansion. ... The trick is to pick the features that don't fight each other.,John Carmack.
91,Trying to get into the details seems to be a religious issue -- nearly everybody is convinced that every style but their own is ugly and unreadable. Leave out the ,Jerry Coffin on indentation.
92,The behavior of any bureaucratic organization can best be understood by assuming that it is controlled by a secret cabal of its enemies.,Robert Conquest's Second Law of Politics.
93,C++ tries to guard against Murphy not Machiavelli.,Damian Conway.
94,Organizations which design systems are constrained to produce designs which are copies of the communication structures of these organizations. (For example if you have four groups working on a compiler you'll get a 4-pass compiler),Conway's Law.
95,Programmers are in a race with the Universe to create bigger and better idiot-proof programs while the Universe is trying to create bigger and better idiots. So far the Universe is winning.,Rich Cook.
96,It has been said that the great scientific disciplines are examples of giants standing on the shoulders of other giants. It has also been said that the software industry is an example of midgets standing on the toes of other midgets.,Alan Cooper About Face.
97,Learning is not compulsory. Neither is survival.,W. Edwards Deming.
98,To iterate is human to recurse divine.,L. Peter Deutsch.
99,Just because the standard provides a cliff in front of you  you are not necessarily required to jump off it.,Norman Diamond.
100,A most important but also most elusive aspect of any tool is its influence on the habits of those who train themselves in its use. If the tool is a programming language this influence is  whether we like it or not an influence on our thinking habits.,Edsger Dijkstra.
101,It is practically impossible to teach good programming style to students that have had prior exposure to Basic; as potential programmers they are mentally mutilated beyond hope of regeneration.,Edsger Dijkstra.
102,Simplicity is prerequisite for reliability,Edsger W. Dijkstra.
103,The competent programmer is fully aware of the strictly limited size of his own skull; therefore he approaches the programming task in full humility and among other things he avoids clever tricks like the plague.,Edsger Dijkstra.
104,Any code of your own that you haven't looked at for six or more months might as well have been written by someone else.,Eagleson's law.
105,Do not worry about your difficulties in mathematics. I can assure you that mine are still greater.,Albert Einstein.
106,Make everything as simple as possible but not simpler.,Albert Einstein.
107,Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,Albert Einstein.
108,I have always found that plans are useless but planning is indispensable.,Dwight Eisenhower.
109,A foolish consistency is the hobgoblin of little minds adored by little statesmen and philosophers and divines.,Ralph Waldo Emerson.
110,For a sucessful technology honesty must take precedence over public relations for nature cannot be fooled.,Richard Feynman.
111,The first principle is that you must not fool yourself - and you are the easiest person to fool.,Richard Feynman.
112,The inside of a computer is as dumb as hell but it goes like mad!,Richard Feynman.
113,You can know the name of a bird in all the languages of the world but when you're finished you'll know absolutely nothing whatever about the bird... So let's look at the bird and see what it's doing,that's what counts. I learned very early
114,One of the main causes of the fall of the Roman Empire was that  lacking zero they had no way to indicate successful termination of their C programs.,Robert Firth.
115,There is not now nor has there ever been nor will there ever be  any programming language in which it is the least bit difficult to write bad code.,Flon's Law.
116,Comparing to another activity is useful if it helps you formulate questions it's dangerous when you use it to justify answers.,Martin Fowler.
117,Simplicity carried to the extreme becomes elegance.,Jon Franklin.
118,If you want a girlfriend avoid working in the computer games industry like the plague. If you work seven days a week 15 hours a day for almost two years with barely enough time for a pint you have no time whatsoever for relationships. Plus computer-games makers are regarded as being about as hip and cool as abattoir workers.,Toby Gard
119,Measuring programming progress by lines of code is like measuring aircraft building progress by weight.,Bill Gates.
120,Good programmers use their brains but good guidelines save us having to think out every case.,Francis Glassborow.
121,Software obeys the law of gaseous expansion - it continues to grow until memory is completely filled.,Larry Gleason.
122,An API that isn't comprehensible isn't usable.,James Gosling.
123,How the teacher reacts when something goes wrong tells the class what's important.,Bruce Hamilton.
124,Never attribute to malice that which is adequately explained by stupidity.,Hanlon's razor.
125,The road to wisdom?,Piet Hein.
126,Moving parts in rubbing contact require lubrication to avoid excessive wear. Honorifics and formal politeness provide the lubrication where people rub together. Often the very young  the untraveled the naive the unsophisticated deplore these formalities as ,Robert A. Heinlein.
127,There are perhaps 5% of the population that simply *can't* think. There are another 5% who *can* and *do*. The remaining 90% *can* think but *don't*.,Robert A. Heinlein.
128,The open secrets of good design practice include the importance of knowing what to keep whole what to combine what to separate  and what to throw away.,Kevlin Henny.
129,We are apt to shut our eyes against a painful truth.... For my part I am willing to know the whole truth; to know the worst; and to provide for it.,Patrick Henry.
130,There are two ways of constructing a software design. One way is to make it so simple that there are obviously no deficiencies. And the other way is to make it so complicated that there are no obvious deficiencies.,C.A.R. Hoare.
131,The unavoidable price of reliability is simplicity.,C.A.R. Hoare.
132,The ability to simplify means to eliminate the unnecessary so that the necessary may speak.,Hans Hoffmann.
133,It always takes longer than you expect even when you take into account Hofstadter's Law.,Hofstadter's Law.
134,It's not at all important to get it right the first time. It's vitally important to get it right the last time.,Andrew Hunt and David Thomas.
135,Rules of Optimization:,M.A. Jackson.
136,Before software can be reusable it first has to be usable.,Ralph Johnson.
137,First solve the problem. Then write the code.,John Johnson.
138,It's so easy to become mesmerized by the immediacy of a result that you don't question its validity.,Naomi Karten.
139,Most software today is very much like an Egyptian pyramid with millions of bricks piled on top of each other with no structural integrity but just done by brute force and thousands of slaves.,Alan Kay.
140,Perl is another example of filling a tiny short-term need and then being a real problem in the longer term.,Alan Kay.
141,We are faced with an insurmountable opportunity.,W. Kelley.
142,As we said in the preface to the first edition C 'wears well as one's experience with it grows.' With a decade more experience we still feel that way.,Brian Kernighan and Dennis Ritchie.
143,Debugging is twice as hard as writing the code in the first place. Therefore if you write the code as cleverly as possible you are by definition not smart enough to debug it.,Brian W. Kernighan.
144,Trying to outsmart a compiler defeats much of the purpose of using one.,Kernighan and Plauger
145,A charlatan makes obscure what is clear; a thinker makes clear what is obscure.,Hugh Kingsmill.
146,... the designer of a new system must not only be the implementor and the first large-scale user; the designer should also write the first user manual. ... If I had not participated fully in all these activities literally hundreds of improvements would never have been made because I would never have thought of them or perceived why they were important.,Donald Knuth.
147,Any inaccuracies in this index may be explained by the fact that it has been sorted with the help of a computer.,Donald Knuth Sorting and Searching.
148,Beware of bugs in the above code; I have only proved it correct  not tried it.,Donald Knuth.
149,Computers are good at following instructions but not at reading your mind.,Donald Knuth.
150,Let us change our traditional attitude to the construction of programs. Instead of imagining that our main task is to instruct a computer what to do let us concentrate rather on explaining to human beings what we want a computer to do.,Donald Knuth.
151,TeX has found at least one bug in every Pascal compiler it's been run on I think and at least two in every C compiler.,Donald Knuth.
152,The process of preparing programs for a digital computer is especially attractive not only because it can be economically and scientifically rewarding but also because it can be an aesthetic experience much like composing poetry or music.,Donald Knuth.
153,These machines have no common sense; they have not yet learned to 'think' and they do exactly as they are told no more and no less. This fact is the hardest concept to grasp when one first tries to use a computer.,Donald Knuth.
154,You're bound to be unhappy if you optimize everything.,Donald Knuth.
470,Probably no nation is rich enough to pay for both war and education.,Braham Flexner.
471,It is part of the general pattern of misguided policy that our country is now geared to an arms economy which was bred in an artificially induced psychosis of war hysteria and nurtured upon an incessant propaganda of fear.,General Douglas MacArthur.
472,Everybody's worried about stopping terrorism. Well there's a really easy way; stop participating in it.,Noam Chomsky.
473,Everyone laughs and cries in the same language.,dreamslaughter.
474,When you give food to the poor they call you a saint. When you ask why the poor have no food they call you a communist.,Archbishop Helder Camara.
475,I saw a human skull the other day. There was an inscription below it: 'Look long and hard at me for I was once as you are and you will soon be as I am.',Unknown.
476,I read about an Eskimo hunter who asked the local missionary priest 'If I did not know about God and sin would I go to hell?' 'No ' said the priest 'not if you did not know.' 'Then why ' asked the Eskimo earnestly 'did you tell me?',Annie Dillard.
477,Missionaries are perfect nuisances and leave every place worse than they found it.,Charles Dickens.
478,I am convinced that I am acting as the agent of our Creator. By fighting off the Jews I am doing the Lord's work.,Adolf Hitler.
479,What do the nationalists say about killers punishing murderers and thieves sentencing looters?,Kahlil Gibran.
480,The most heinous and the cruelest crimes of which history has record have been committed under the cover of religion or equally noble motives.,Mohandas Gandhi.
481,Now my good man this is no time for making enemies.,Voltaire
482,Isn't it enough to see that a garden is beautiful without having to believe that there are fairies at the bottom of it too?,Douglas Adams.
483,I sometimes think that God in creating man somewhat overestimated his ability.,Oscar Wilde.
484,If English was good enough for Jesus it's good enough for them Mexicans.,Texas politician
485,The first clergyman was the first rascal who met the first fool.,Voltaire.
486,Democracy is four wolves and a lamb voting on what to have for lunch.,Ambrose Bierce.
487,No one rules if no one obeys.,<TaoDo>.
488,Most of the things worth doing in the world had been declared impossible before they were done.,Louis Brandeis.
489,The history of liberty is a history of resistance. The history of liberty is a history of limitations of governmental power  not the increase of it.,Woodrow Wilson.
490,None are more hopelessly enslaved than those who falsely believe they are free.,Johann Wolfgang von Goethe.
491,It does me no injury for my neighbor to say there are twenty gods or no God. It neither picks my pocket nor breaks my leg.,Thomas Jefferson.
492,All Bibles are man-made.,Thomas Edison.
493,In nature there are neither rewards nor punishments; there are consequences.,Robert G. Ingersoll.
494,We always obeyed the law. Isn't that what you do in America? Even if you don't agree with a law personally you still obey it. Otherwise life would be chaos.,Gertrude Scholtz-Klink
495,I hit him to get his attention. I shot him to calm him down. I killed him to reason with him.,Henry Rollins.
496,Every gun that is made every warship launched every rocket fired signifies in the final sense a theft from those who hunger and are not fed those who are cold and are not clothed. This world in arms is not spending money alone. It is spending the sweat of its laborers the genius of its scientists the hopes of its children. This is not a way of life at all in any true sense. Under the clouds of war it is humanity hanging on a cross of iron.,Dwight D. Eisenhower.
497,I am strongly in favor of using poisoned gas against uncivilized tribes. The moral effect should be good and it would spread a lively terror.,Winston Churchill commenting on the British use of poison
498,How good bad music and bad reasons sound when we march against an enemy!,Nietzsche.
499,The crimes of the U.S. throughout the world have been systematic constant clinical remorseless and fully documented but nobody cares to talk about them.,Harold Pinter.
500,How long would authority ... exist if not for the willingness of the mass to become soldiers policemen jailers and hangmen.,Emma Goldman.
501,You get what anyone gets; you get a lifetime.,Death
502,To be wronged is nothing unless you continue to remember it.,Confucius.
503,The truth is that there is nothing noble in being superior to somebody else. The only real nobility is in being superior to your former self.,Whitney Young.
504,If you ever drop your keys into a river of molten lava let 'em go because man they're gone.,Jack Handey.
505,All our lauded technological progress our very civilization  is like the axe in the hand of the pathological criminal.,Albert Einstein.
506,We hang the petty thieves and appoint the great ones to public office.,Aesop.
507,In the 1980s capitalism triumphed over communism. In the 1990s it triumphed over democracy.,David Korten.
508,The corporation is a true Frankenstein's monster an artificial person run amok responsible only to its own soulless self.,William Dugger.
509,Convictions are more dangerous foes of truth than lies.,Nietzsche.
510,Hain't we got all the fools in town on our side? And ain't that a big enough majority in any town?,Mark Twain.
511,In matters of conscience the law of majority has no place.,Mohandas Gandhi.
512,Why tell me that a man is a fine speaker if it is not the truth that he is speaking?,Thomas Carlyle.
